"id","date","type"
"1",2014-04-01 00:38:03,"62324754"
"2",2014-04-01 00:40:57,"62324755"
"3",2014-04-01 01:44:06,"62324754"
"4",2014-04-01 01:47:00,"62324755"
"5",2014-04-01 02:17:50,"62324754"
"6",2014-04-01 02:20:43,"62324755"
"7",2014-04-01 03:07:38,"62324754"
"8",2014-04-01 03:10:20,"62324754"
"9",2014-04-01 03:10:32,"62324755"
"10",2014-04-01 03:13:14,"62324755"
"11",2014-04-01 03:13:49,"62324754"
"12",2014-04-01 03:16:44,"62324755"
"13",2014-04-01 03:31:02,"62324754"
"14",2014-04-01 03:33:56,"62324755"
"15",2014-04-01 06:19:06,"62324754"
"16",2014-04-01 06:21:31,"62324754"
"17",2014-04-01 06:22:00,"62324755"
"18",2014-04-01 06:24:25,"62324755"
"19",2014-04-01 09:43:58,"62324754"
"20",2014-04-01 09:46:23,"62324754"
"21",2014-04-01 09:46:52,"62324755"
"22",2014-04-01 09:49:17,"62324755"
"23",2014-04-01 10:13:00,"62324754"
"24",2014-04-01 10:15:55,"62324755"
"25",2014-04-01 10:23:31,"62324755"
"26",2014-04-01 10:23:35,"62324755"
"27",2014-04-01 10:24:57,"62324754"
"28",2014-04-01 10:25:01,"62324754"
"29",2014-04-01 10:28:38,"62324755"
"30",2014-04-01 10:28:42,"62324755"
"31",2014-04-01 10:37:55,"62324755"
"32",2014-04-01 10:37:56,"62324755"
"33",2014-04-01 10:47:46,"62324754"
"34",2014-04-01 10:47:50,"62324755"
"35",2014-04-01 10:48:03,"62324754"
"36",2014-04-01 10:49:47,"62324754"
"37",2014-04-01 10:49:51,"62324754"
"38",2014-04-01 10:50:40,"62324755"
"39",2014-04-01 10:50:41,"62324755"
"40",2014-04-01 10:50:57,"62324755"
"41",2014-04-01 10:58:08,"62324754"
"42",2014-04-01 11:01:03,"62324755"
"43",2014-04-01 11:46:04,"62324754"
"44",2014-04-01 11:48:58,"62324755"
"45",2014-04-01 12:14:58,"62324754"
"46",2014-04-01 12:17:53,"62324755"
"47",2014-04-01 12:18:15,"62324754"
"48",2014-04-01 12:21:09,"62324755"
"49",2014-04-01 12:55:07,"62324756"
"50",2014-04-01 12:55:07,"62324754"
"51",2014-04-01 12:55:08,"62324754"
"52",2014-04-01 12:55:08,"62324754"
"53",2014-04-01 12:55:08,"62324754"
"54",2014-04-01 12:55:08,"62324754"
"55",2014-04-01 12:55:08,"62324754"
"56",2014-04-01 12:55:08,"62324754"
"57",2014-04-01 12:55:08,"62324754"
"58",2014-04-01 12:55:08,"62324754"
"59",2014-04-01 12:55:08,"62324754"
